Symbol,Module,Degree,Log2FC
FBXO43,16,10,-1.57369406432848
TONSL,16,8,-1.04382237766697
IQGAP3,16,8,-1.39528291513729
SLK,16,6,1.16771854803113
WDR62,16,6,-1.37068571913333
HLTF,16,6,-1.07087335362418
E2F7,16,6,-1.45795674464432
HFM1,16,6,1.05393150176026
CCNP,16,4,-2.1564246079188
HROB,16,2,-1.19924758542563
CIP2A,16,2,-1.3197470814615
RAG1,16,2,-1.79863811233581
STN1,16,2,1.4728741237667
DDIAS,16,2,-1.07199888503984
PAQR5,16,2,1.34228241777899
TRAM2,16,2,-1.25655221358822
RNF168,16,2,-1.0658496819261
ATP5MGL,16,2,1.03112275225375
RGS22,16,2,1.33998964921601
SHOC1,16,2,-1.1193050029925
BOLL,16,2,-1.91226602782483
RPRM,16,2,-2.11671646394207
SPINK14,17,0,-4.03834112521985
TOM1L2,18,0,1.12192563843163
MOV10L1,19,6,-1.60962625963032
TDRD1,19,6,1.1977264316575
HENMT1,19,4,-1.13382634204545
TDRD5,19,2,-1.37197716773833
RIOK3,20,0,1.12928229096325
TEDC2,21,0,-1.61545982741762
GCOM1,22,0,1.30219860011511
FAM25A,23,0,4.8762376894138
FN1,24,166,-2.01760416964742
COL1A1,24,104,-3.26942126894065
MMP9,24,100,-2.6928454526701
COL1A2,24,80,-2.71947388199348
EGF,24,80,-1.1612148560084
MMP2,24,72,-2.18057960310918
COL3A1,24,66,-2.90711789743622
COL4A1,24,64,-2.0532047766124
COL5A1,24,60,-2.27752061521334
BGN,24,58,-2.57626820382837
COL6A1,24,58,-1.13930351378178
COL4A2,24,56,-1.72678522991976
COL5A2,24,54,-2.31849445371993
COL6A2,24,54,-1.02592249549623
SPP1,24,50,-4.35838997105127
COL6A3,24,50,-2.11807254793228
ITGA5,24,50,-1.07758756460539
THBS1,24,50,-1.12229345825204
THBS2,24,48,-1.96879778624105
LUM,24,48,-2.43134439549041
ITGA6,24,48,-1.05473871361354
FBN1,24,48,-1.32717513232931
MAPK3,24,44,1.23018041161963
TIMP1,24,44,-1.27875779358816
COL12A1,24,44,-2.19337026060414
MMP3,24,42,-5.98150971368017
MMP1,24,42,-6.05762423237324
POSTN,24,42,-3.19195818988765
ITGA11,24,42,-1.63582488078322
LOX,24,40,-1.39009194140915
IGF2,24,40,-1.40938850123203
PLOD1,24,38,-1.14405367338583
COL11A1,24,38,-6.52942931634461
SERPINH1,24,36,-1.7377534424528
ACAN,24,36,-2.51671020860327
SERPINE1,24,36,-2.41196070467639
MET,24,36,-1.1235255060559
SPARC,24,36,-1.7419843653103
GP6,24,34,1.24703462469571
ERBB4,24,34,2.34605653105631
CDH2,24,34,-1.18044134482701
LAMB1,24,32,-1.02063638791411
MMP7,24,32,-2.71802815172855
PLAU,24,30,-1.8215748117486
NID1,24,30,-1.31905583671558
COL10A1,24,28,-2.84420202885829
P3H1,24,26,-1.3211405333305
VCAN,24,26,-2.68237453869673
PDGFRB,24,26,-1.45032194626838
THY1,24,24,-2.69619995171935
ERBB3,24,24,1.06225373624902
SNAI1,24,24,-1.48763283558694
EPHA2,24,24,1.11872105628629
MMP13,24,22,-6.06971591602667
LCN2,24,22,1.48920614734937
COL9A3,24,22,-1.03217313721157
CTSG,24,22,1.43565679855861
AGRN,24,20,-1.07035386825152
SNAI2,24,20,-1.14378009827288
PCOLCE,24,20,-1.18375130859259
EREG,24,20,1.53142224130772
PGF,24,18,-1.53590443962665
LAMC2,24,18,-2.59737483810389
PXDN,24,18,-2.27296596556129
ADAMTS4,24,18,-1.49616857482977
LAMB3,24,18,-1.43484741819888
MMP14,24,18,-1.0143877492321
F2R,24,18,-1.24036761111499
TNFSF11,24,18,-1.32307561544324
MMP10,24,18,-7.02955193695382
CTSK,24,18,-1.4910170844384
PDGFA,24,18,-1.06820793424141
PLAUR,24,18,-1.83935288355982
ADAMTS2,24,16,-2.83905482806493
LAMA1,24,16,-1.91542804066855
TNFAIP6,24,16,-2.84292072471408
ASPN,24,16,-2.24756315870849
IGFBP3,24,16,-1.79205435795324
PLOD3,24,16,-1.35499059602575
COLGALT1,24,14,-1.08137149995497
BTC,24,14,1.49553527477271
COL8A1,24,14,-1.81378400740557
NID2,24,14,-1.34408239479285
COL9A2,24,14,-1.28246543649331
TNXB,24,14,1.4448061157985
MMP11,24,12,-4.71725092878732
MAPK12,24,12,-1.53555657111744
COL27A1,24,12,-1.22191695408621
COL7A1,24,12,-1.57192238174355
PROC,24,12,-1.46506309339042
TWIST1,24,12,-1.50564288647232
NRG2,24,12,1.81017962410798
NRG1,24,12,-1.34807474571016
IGF2BP1,24,12,-4.47974754583654
MMP12,24,10,-4.53630986093974
SERPINB13,24,10,2.14918791341678
EFNB1,24,10,-1.02542195117694
TGFBI,24,10,-1.90361134909831
CD24,24,10,2.17369374010869
SERPINB2,24,10,2.36599063922538
FKBP10,24,10,-2.2686724262481
HMGA2,24,10,-3.2629084206979
IGF2BP3,24,10,-1.59891238472867
FBN2,24,10,-1.94629161436904
IGF2BP2,24,10,-2.53305699596051
EPHB2,24,8,-2.44567562683996
MFAP2,24,8,-2.80158068700055
EPGN,24,8,3.18254405838205
EPHB1,24,8,-1.9605938805093
ENAM,24,8,1.55755183335761
MSR1,24,8,-2.43155106520417
TNC,24,8,-2.13231979432466
MATN3,24,8,-1.278565475071
SULT1B1,24,8,1.32479335739551
NFATC1,24,8,-1.10397192968362
IGFBP1,24,8,-1.04894868301604
CDH19,24,8,1.33523282297372
MMP16,24,8,-1.29309198924731
DUSP1,24,8,1.01215667132551
DMP1,24,8,-3.70779618728873
WDR72,24,6,-2.9770089569813
RANBP9,24,6,1.43242555303263
CDH11,24,6,-2.38298004713997
ZIC2,24,6,-3.44047265642732
SERPINB3,24,6,2.67308092561209
CDH3,24,6,-1.45190241789535
MYOC,24,6,4.17472314528527
LOXL2,24,6,-2.01064355849861
HAS2,24,6,-1.38767434697986
