Gene_Symbol,signcon,randomSummary,randomCi.lb,randomCi.ub,randomP,het_QE,het_QEp,het_QM,het_QMp,error,rank
TP53INP2,-3,-0.361930063128173,-0.801165916958589,0.0773057907022441,0.106308730300702,4.30068691138952,0.636056641229849,2.60825430241976,0.106308730300702,FALSE,3936
LAMTOR3,3,0.384551578356039,-0.0823227346416506,0.851425891353729,0.10644749245841,8.85666615464266,0.181800982714022,2.60618606467327,0.10644749245841,FALSE,3937
TM2D1,1,0.277803224594151,-0.0594790018932588,0.615085451081561,0.106456188701746,6.74345955549177,0.345224879418787,2.60605654641902,0.106456188701746,FALSE,3938
RGS1,1,0.764009452654626,-0.163924653213885,1.69194355852314,0.106586961087049,20.4622275360488,0.00229049232625758,2.60411027487304,0.10658696108705,FALSE,3939
UPP2,-1,-1.13802286421742,-2.52031375121206,0.244268022777221,0.106611193923983,0,1,2.60374990781198,0.106611193923983,FALSE,3940
NCOR2,3,0.342508325173091,-0.0735224938267103,0.758539144172892,0.106615963438695,8.72448949536921,0.189675704206591,2.60367899083533,0.106615963438696,FALSE,3941
RAC2,3,0.811186858554225,-0.174390547908625,1.79676426501707,0.106709094813469,23.9909990249787,0.000524252728497777,2.6022949357902,0.106709094813468,FALSE,3942
APCDD1,1,0.513300148035758,-0.11052585888996,1.13712615496148,0.106807748634798,11.1566864666439,0.0836528926646497,2.60083025459928,0.106807748634798,FALSE,3943
PTPRC,5,0.545240485908966,-0.117406267518321,1.20788723933625,0.106809275430435,13.2907376287394,0.0386444397026687,2.60080759842604,0.106809275430434,FALSE,3944
CHM,5,0.275848580257993,-0.0595659569319558,0.611263117447942,0.106984617127502,3.81886051506039,0.701173842968155,2.59820805791609,0.106984617127502,FALSE,3945
FAM90A1,-2,-0.697175164284553,-1.54492540613445,0.15057507756534,0.106996642479071,4.52571553097538,0.210007958136579,2.59802994656067,0.106996642479071,FALSE,3946
ASIC1,4,1.01180088934381,-0.218661251366163,2.24226303005379,0.107034762892269,22.1955166554766,0.000480629372076678,2.59746547799167,0.107034762892269,FALSE,3947
