Symbol,n_cancers,n_up,n_down,mean_lfc,sd_lfc,cancers
WDR72,3,0,3,-2.17167952070731,0.771305328813722,colorectal|esophagus|kidney
NOX4,3,0,3,-2.12370927692108,0.467794797680072,colorectal|esophagus|kidney
CADM3,3,3,0,2.06628668924788,0.745190555061527,colorectal|esophagus|kidney
MMP13,3,1,2,-2.00761685848137,4.42666163576332,colorectal|esophagus|pancreatic
ERVMER34-1,3,0,3,-1.96417917456728,1.15242749426204,colorectal|esophagus|kidney
CST2,3,1,2,-1.95883319346247,4.65677283957582,colorectal|esophagus|pancreatic
MME,3,0,3,-1.91825376013483,0.761520394420892,colorectal|esophagus|kidney
CLDN14,3,0,3,-1.91605464926534,0.641823501700067,colorectal|esophagus|kidney
DHRS9,3,3,0,1.90928647655063,0.433464253872875,colorectal|esophagus|kidney
PRAME,3,1,2,-1.86395840260327,3.65847722978776,colorectal|esophagus|kidney
EPB41L4B,3,0,3,-1.85276579366768,0.910497219835308,esophagus|kidney|pancreatic
TNS4,3,0,3,-1.82926107837393,0.697319151391407,colorectal|esophagus|kidney
PSAT1,3,0,3,-1.81362161281477,0.571140671613625,colorectal|kidney|pancreatic
CYP27B1,3,0,3,-1.8111428464517,0.838358658227929,colorectal|esophagus|kidney
BARX2,3,3,0,1.76749164558423,0.72778822618147,colorectal|esophagus|kidney
CDKN2B,3,3,0,1.75817072827777,0.32304806319418,colorectal|esophagus|kidney
FREM2,3,0,3,-1.74134356353625,0.643487007139082,colorectal|esophagus|kidney
CALB2,3,3,0,1.72182420315098,0.357813150195405,colorectal|esophagus|pancreatic
RERGL,3,2,1,1.71447717840668,3.99942487503392,colorectal|esophagus|kidney
PRSS22,3,1,2,-1.71092572236955,2.63968705987682,colorectal|esophagus|kidney
IL13RA2,3,0,3,-1.68262127213487,0.558775350834712,colorectal|esophagus|kidney
GRIN2A,3,3,0,1.65172302836299,0.748268365287664,colorectal|esophagus|kidney
SLC5A12,3,1,2,-1.63292953427819,2.48623387663894,colorectal|esophagus|kidney
MAL,3,2,1,1.62556163805513,4.16494678581702,colorectal|esophagus|kidney
VIP,3,3,0,1.6104584597282,0.625683699062544,colorectal|esophagus|liver
GGTA1,3,3,0,1.59748896381906,0.353785174066064,colorectal|esophagus|kidney
VSIG2,3,2,1,1.57292616870301,2.28148761916372,colorectal|esophagus|kidney
SELE,3,0,3,-1.5727138080257,0.293798854392047,colorectal|esophagus|kidney
